Date,User,Tweet Content,Negative,Neutral,Positive,Most Likely,Maximum Sentiment
30/11/2021,BofA_Business,fernando vicario sat irishtimes share views environmental social governance esg imperative business read,0.0453051,0.9117395,0.042955436,0,Neutral
29/11/2021,BofA_Business,stockmarket gains driven mostly performance small share disruptive companies techdisruptors may galvanize markets,0.002711805,0.2205475,0.77674073,0.78,Positive
19/11/2021,BofA_Business,cashpro platform seamlessly connects online via mobile apis integrating financialsoftware working together simplify business learn,0.002441815,0.16019778,0.8373604,0.84,Positive
16/11/2021,BofA_Business,rt igminforma igmcreditcorner andrew karp head global investment grade capital markets bofabusiness discusses,0.056921605,0.90067005,0.042408355,0,Neutral
15/11/2021,BofA_Business,imagine seeing elvis concert today amp global teammates tomorrow power holograms future tech article,0.004547043,0.53354543,0.46190748,0,Neutral
12/11/2021,BofA_Business,trade smarter instinct fx built suite etrading solutions powered intelligent algo strategies visit us online,0.004661165,0.43384212,0.5614968,0.56,Positive
12/11/2021,BofA_Business,india commerce industry minister mr piyush goyal today addressed global investors corporates mncs flagship bofa india investor conference mr goyal discussed india rising role global trade piyushgoyal cimgoi,0.019666178,0.91339076,0.06694307,0,Neutral
10/11/2021,BofA_Business,monitoring across range cybersecurity threats focus helping safeguard business stay focused whats important,0.017140115,0.43080816,0.55205184,0.55,Positive
10/11/2021,BofA_Business,week discuss better expected jobsreport shifts esg investment highlight annual china conference,0.002296013,0.36754286,0.6301612,0.63,Positive
08/11/2021,BofA_Business,machinelearning help overcome cash forecasting challenges karen ly paul smithwood help take datadriven approach better accuracy transparency,0.006531289,0.4403007,0.55316806,0.55,Positive
04/11/2021,BofA_Business,build diversity culture start company internal data business leaders share strategies success stories,0.007466839,0.421276,0.57125723,0.57,Positive
03/11/2021,BofA_Business,rt allbirds day one mother nature stakeholder today marks next chapter journey making better things,0.003828319,0.20331007,0.7928616,0.79,Positive
02/11/2021,BofA_Business,protect business cyber threats cyber security month learn strengthen security prepare tomorrow help becybersmart,0.03772692,0.666124,0.2961491,0,Neutral
28/10/2021,BofA_Business,third parties access cloud deployments pose unique risk company read latest cyber security journal becybersmart,0.28226662,0.67470163,0.043031678,0,Neutral
26/10/2021,BofA_Business,maintain security business learn fraud education innovative processes patented technology help minimize cyber threats becybersmart,0.068747774,0.6204499,0.31080234,0,Neutral
21/10/2021,BofA_Business,access email cyber criminals personal business legal damage read latest cyber security journal learn cybersecurity risks becybersmart,0.48170254,0.5025085,0.015788984,0,Neutral
18/10/2021,BofA_Business,give eyes battery rest darkmode cashpro app easy use easy see learn,0.008405611,0.23845841,0.7531359,0.75,Positive
15/10/2021,BofA_Business,best practices help defend business email compromise reinforce cybersecurity plan employees becybersmart learn,0.018905971,0.46024925,0.5208449,0.52,Positive
14/10/2021,BofA_Business,duncan lodge joins thebanker sibos sustainable trade finance roundtable discuss critical role banks supply chain finance play driving esg change,0.007856522,0.7939821,0.19816124,0,Neutral
14/10/2021,BofA_Business,cybersecurity breaches increase stakes selecting vendor strategies consider becybersmart,0.3497502,0.62338704,0.026862772,0,Neutral
11/10/2021,BofA_Business,communication key cyber response involve stakeholders cybersecurity plan protect business get insights becybersmart,0.024467183,0.74476665,0.23076612,0,Neutral
11/10/2021,BofA_Business,gts chief transformation officer ayeesha sachedina join sibos talk future work building innovative sustainable enterprise register sessions,0.004545465,0.65673524,0.3387194,0,Neutral
11/10/2021,BofA_Business,join us year sibos event happening october leaders share ideas perspectives world payment innovation fraud prevention sustainability future work register,0.003803679,0.574017,0.42217946,0,Neutral
07/10/2021,BofA_Business,watch expert panelists answer key questions healthcare covering rising costs potential investment opportunities,0.018558394,0.754166,0.22727554,0,Neutral
05/10/2021,BofA_Business,machinelearning give deeper insight future cash flows across bank accounts see cashpro forecasting help make smarter decisions,0.00592913,0.2948063,0.6992645,0.7,Positive
05/10/2021,BofA_Business,consumers love giftcards put business risk fraud right tactics help keep wrong hands,0.08898871,0.3698719,0.54113925,0.54,Positive
05/10/2021,BofA_Business,cyber threats challenge business keep secure latest cybersecurity technology,0.2394089,0.69483167,0.06575937,0,Neutral
24/09/2021,BofA_Business,subscription services equate recurring revenue smooth cashflow find retailers anymore,0.046674933,0.7730995,0.18022561,0,Neutral
24/09/2021,BofA_Business,investable indices offer assetowners costefficient transparent strategy lock annual portfolio gains watch full video,0.00499234,0.3597466,0.6352611,0.64,Positive
22/09/2021,BofA_Business,discuss radicaltechnologies future aka moonshots tech helping make drugs better cheaper amp faster delivery helping retailers compete amazon,0.006912833,0.27880707,0.7142802,0.71,Positive
15/09/2021,BofA_Business,last week virtual codefest dipa kapadia spoke codefirstgirls importance upskilling bright future womenintech,0.004926765,0.4782306,0.51684254,0.52,Positive
14/09/2021,BofA_Business,trading tip implement costefficient hedge preserve liquidity transparency michael stramandinoli answers,0.032598235,0.86048955,0.106912225,0,Neutral
09/09/2021,BofA_Business,julian mylchreest discusses investment case growing importance market firstelementconference,0.030414075,0.8811672,0.08841872,0,Neutral
07/09/2021,BofA_Business,rt treasurytoday read felix warmuth rodrigo guerra rhi magnesita best working capital management solution award,0.013393657,0.6217515,0.36485484,0,Neutral
01/09/2021,BofA_Business,take helm supplychain issues portofla voyage across pacific look japan observe record low ratio us corporatedebt equity explore ev sales growth,0.08657834,0.8040005,0.10942118,0,Neutral
25/08/2021,BofA_Business,week discuss yellow cautionary signals us economy amp markets gold nuggets apac equities amp greenbonds heading higher,0.008926168,0.78812695,0.2029468,0,Neutral
18/08/2021,BofA_Business,much employees know sustainable investing explore latest benefit plan trends report,0.006670502,0.52221996,0.47110954,0,Neutral
17/08/2021,BofA_Business,rt ctcfos payment solutions look like future transition realtime economy accelerates dhiraj bajaj serina h,0.004349319,0.31833407,0.67731667,0.68,Positive
11/08/2021,BofA_Business,week highlight quarter earnings continued turnaround story investmentgrade bonds,0.002399793,0.3463068,0.6512935,0.65,Positive
10/08/2021,BofA_Business,trading tip fx systematicstrategies offer dynamic way access factors like carry value geoffroy samarcq explains,0.015561441,0.8295928,0.15484583,0,Neutral
09/08/2021,BofA_Business,since established uk charity partner trusselltrust provided vital support people facing poverty network food banks today work continues play crucial role building hunger free future,0.007114084,0.19251925,0.8003666,0.8,Positive
05/08/2021,BofA_Business,kinds financialwellness resources employees looking webcast share value help,0.013735772,0.63158923,0.35467494,0,Neutral
29/07/2021,BofA_Business,machinelearning give deeper insight future cash flows across bank accounts see cashpro forecasting help make smarter decisions,0.00592913,0.2948063,0.6992645,0.7,Positive
28/07/2021,BofA_Business,dan wright datarobot discusses power data opportunities businesses listen,0.009471915,0.83010125,0.16042687,0,Neutral
26/07/2021,BofA_Business,julian mylchreest discusses investment landscape future outlook clean hydrogen sector,0.016958239,0.88867104,0.094370835,0,Neutral
