Date,User,Tweet Content,Negative,Neutral,Positive,Most Likely,Maximum Sentiment
30/11/2021,Citi,congratulations board members deborah c wright amp peterblairhenry honored among savoynetworks influential black corporate directors thank leadership citi see full list honorees,0.00140021,0.0719618,0.92663795,0.93,Positive
29/11/2021,Citi,lot buzz days around realtime liquidity treasurers means keeping organizations sound path view mobilize funds realtime see steps take guide mapping course realtime liquidity,0.01242139,0.8119293,0.17564934,0,Neutral
24/11/2021,Citi,rt mastercardnews andy taylor managing director citi public sector group north america shares mastercard amp citi plan use,0.026609106,0.9419418,0.031449124,0,Neutral
24/11/2021,Citi,next ten years bring european asset management industry look changes product development distribution consolidation could alter european landscape new survey fundseurope find,0.039291125,0.836793,0.12391584,0,Neutral
23/11/2021,Citi,worked bondevalue create world first fractional bond exchange bondbloxbonde making bonds accessible individuals watch,0.00611592,0.4987198,0.49516428,0,Neutral
22/11/2021,Citi,excited sponsor chris paul hbcu tip hosted hoophall showcase helping even playing field giving underrepresented college basketball programs athletes unique platform share stories talents tune today amp tomorrow espn,0.000795134,0.022688327,0.9765165,0.98,Positive
22/11/2021,Citi,latest citi gps report explore role philanthropy plays global economy future may bring read,0.004491523,0.5455667,0.44994172,0,Neutral
19/11/2021,Citi,citi michele polansky moderated discussion ioana niculcea digitalassets christine sandler sidleylaws jay baris idc fund directors conference future digitization securities learn,0.029476153,0.9076483,0.0628754,0,Neutral
19/11/2021,Citi,first year action racial equity initiative invested million million growth capital minority depository institutions strengthen ability serve racially diverse households amp entrepreneurs,0.005880861,0.49199164,0.50212747,0.5,Positive
16/11/2021,Citi,citi present india since listen citi milind nerurkar shahin dastur talk home city mumbai,0.06886349,0.8918655,0.039271154,0,Neutral
15/11/2021,Citi,citi proud among first companies first major wall st bank participate mltorgs black equity work certification program designed ensure make progress black equity work mltblackequityatwork,0.001909459,0.18325861,0.81483185,0.81,Positive
15/11/2021,Citi,latest citi gps report focuses role played enterprises identifying skills future equipping employees learning amp development tools need survive everchanging world read,0.009493676,0.5501003,0.44040596,0,Neutral
12/11/2021,Citi,year since announced action racial equity track exceed billion goal proud progress look forward continuing work check year one report,0.001783438,0.09130977,0.90690684,0.91,Positive
10/11/2021,Citi,lisa dallmer chief operating officer dimensional joins citis michele polansky securities services client executive discuss career portfolio importance proactively looking expand skill set womeninassetmanagement,0.008908513,0.78176486,0.20932679,0,Neutral
10/11/2021,Citi,since launching action racial equity last fall weve invested billion strategic initiatives date outpacing target set ceo jane fraser offers perspectives progress amp importantly work ahead,0.002457214,0.25819802,0.7393449,0.74,Positive
10/11/2021,Citi,congratulations citi ceo jane fraser named businessinsiders annual people transforming business list disrupters thought leaders driving unprecedented change check jane profile full list,0.003478342,0.124371625,0.87214994,0.87,Positive
10/11/2021,Citi,new series profiles leadership womeninassetmanagement celebrates deampi asset management citis securities services team interviewed women leaders around globe share experiences amp provide advice women entering industry,0.002982371,0.4235338,0.57348377,0.57,Positive
09/11/2021,Citi,today citi announced action racial equity initiative invested strategic initiatives help close racial wealth gap amp increase economic mobility united states year one threeyear commitment learn,0.002915989,0.32322618,0.67385787,0.67,Positive
08/11/2021,Citi,inside mampa podcast episode head shareholder advisory amp structured solutions north america michael kagan engages discussion w colleagues evolving us tax policy landscape amp impact corporate dealmaking listen,0.022178559,0.9220309,0.055790443,0,Neutral
08/11/2021,Citi,citi treasury amp trade solutions launched domestic instant payments brazil bringing global footprint markets multiple regions usage instant payments platform grown unprecedented rate last months learn,0.004711276,0.4123263,0.5829624,0.58,Positive
03/11/2021,Citi,rt billgates breakthrough energy catalyst bringing together private public sector leaders invest innovation accelerate,0.00258846,0.20166552,0.79574585,0.8,Positive
03/11/2021,Citi,rt thinkforwarduk today holding youngandblack celebration event amp launching two fantastic ways see creative w,0.001171082,0.08546388,0.9133649,0.91,Positive
02/11/2021,Citi,excited announce new partnership breakthrough energy catalyst anchor partner committing next years initial equity investment expansion citi impact fund,0.000769554,0.029064339,0.9701661,0.97,Positive
28/10/2021,Citi,read jorge rubio nava expanded citi social finance team working together clients partners maximize social impact drive equitable future communities,0.003020873,0.3377914,0.65918756,0.66,Positive
28/10/2021,Citi,today announced offering inaugural citi social finance bond billion bond help increase access essential services emerging markets globally learn citi expanding commitment social finance,0.001779434,0.30964777,0.6885728,0.69,Positive
26/10/2021,Citi,ten us cities came together leverage cities procurement dollars advance racial equity part final cohort cityaccelerator supported citi foundation read guide released today learn work,0.003271033,0.41418463,0.58254445,0.58,Positive
22/10/2021,Citi,today citi announced commitment conduct thirdparty racial equity audit deepens diversity equity inclusion commitments strengthen work address racial wealth gap,0.007057393,0.5511216,0.44182113,0,Neutral
22/10/2021,Citi,citi proud announce joanne kelly named finalist ally changemaker award oe summit joanne truly example means live values citi congratulations outstanding commitment lgbtq community oesummit,0.001008925,0.02935397,0.969637,0.97,Positive
18/10/2021,Citi,companies across asia pacific building success ecommerce shape next phase digital transformation learn institutions better position gain market share digital platforms,0.003205796,0.2532774,0.7435167,0.74,Positive
14/10/2021,Citi,clearly transformation number one priority right key transformation safety soundness addressing consent orders modernizing risk control environment ceo jane fraser information,0.02261503,0.72081476,0.2565702,0,Neutral
14/10/2021,Citi,digital strategy investments starting pay dividends digital deposits stand billion grown last year ceo jane fraser information,0.004672287,0.6532292,0.34209865,0,Neutral
14/10/2021,Citi,proud tell citi best mampa quarter second best investment banking quarter decade ceo jane fraser information,0.00183584,0.034076344,0.9640878,0.96,Positive
14/10/2021,Citi,joining forces americanexpress bankofamerica amp paypal collaboration w red support global relief building work gavi citi providing eligible us cardmembers option donate thankyou points help,0.009461941,0.54505426,0.4454837,0,Neutral
13/10/2021,Citi,latest investor relations news right email inbox sign citi news alerts,0.013006486,0.8952426,0.091750935,0,Neutral
11/10/2021,Citi,change narrative climate change keithtuffley citi global cohead sustainability amp corporate transitions discusses massive increase investment new technologies amp innovations road glasgow podcast series,0.013415543,0.6837799,0.30280453,0,Neutral
11/10/2021,Citi,honor dayofthegirl citi donating malalafund support mission gender equity amp inclusion girls builds support e education campaign help provide education children,0.00595915,0.45137346,0.5426673,0.54,Positive
07/10/2021,Citi,listen edskyler head global public affairs joins staffershow reflect career path discuss citis approach helping solve key societal issues key takeaway esg nice must tune,0.005666017,0.33243656,0.6618973,0.66,Positive
07/10/2021,Citi,excited announce citi joining mastercard citypossible network bringing together collective resources amp expertise address urban challenges drive economic development build resilient communities learn,0.001004208,0.027757388,0.9712386,0.97,Positive
06/10/2021,Citi,weve named finalist annual award honors purposedriven businesses solving worlds biggest challenges amp proud recognized alongside others driving progress better future,0.001228755,0.048499662,0.95027155,0.95,Positive
06/10/2021,Citi,citi excited participate equal workplace summit largest lgbtq focused conference citi leaders hosting workshops discuss designing future work focus equality inclusion oesummit lifeatciti,0.000952666,0.053804632,0.94524276,0.95,Positive
05/10/2021,Citi,proud recognized thebanker global investment bank year award reflection commitment delivering innovative transformative solutions clients watch learn,0.001290881,0.03642643,0.96228284,0.96,Positive
05/10/2021,Citi,icymi released green social bond report learn impact green social bond offerings amp progress weve made advancing esg priorities,0.002331351,0.31742185,0.6802468,0.68,Positive
04/10/2021,Citi,speed ingredient powers adoption many modern innovations meaningfully impacting world payments digital commerce read,0.005162366,0.30823225,0.68660545,0.69,Positive
01/10/2021,Citi,bullwhip effects pandemic starting produce effects suppliers unable fund rapidly increasing working capital needs explore trends solutions new normal,0.33031198,0.626672,0.043016046,0,Neutral
01/10/2021,Citi,citi released green social bond report detailing progress impact green social bond offerings read cfo mark mason efforts like advance esg priorities working alongside clients,0.00301668,0.5495701,0.44741324,0,Neutral
30/09/2021,Citi,delighted helped atlas copco industrial technique turkey implement solution improve working capital win recognition industry award read,0.002042081,0.057849746,0.94010806,0.94,Positive
30/09/2021,Citi,join aspenfsp citi foundation pm est today future building wealth book launch register,0.00536202,0.7815848,0.21305315,0,Neutral
23/09/2021,Citi,reimagining data flows across financial services transactions provide frictionless solution posttrade processes across industry learn citi strategic partnership snowflakedb,0.010207205,0.61728024,0.37251264,0,Neutral
22/09/2021,Citi,chief dei officer amp global head talent erika irish brown spoke businessinsider approach leading citis dei talent programs advancing racial equity initiatives,0.017900556,0.899761,0.08233831,0,Neutral
21/09/2021,Citi,recently welcomed jetty citi impact fund coled latest funding round support growing portfolio affordable flexible financial solutions renters learn,0.000967231,0.057101063,0.9419317,0.94,Positive
21/09/2021,Citi,citidirect citiconnect platforms dominated round one global finance world best corporateinstitutional digital banks awards read full list results,0.009450687,0.5055468,0.4850024,0,Neutral
