Date,User,Tweet Content,Negative,Neutral,Positive,Most Likely,Maximum Sentiment
12/11/2021,jpmorgan,agile payments infrastructures redefining future shopping,0.025942773,0.81152076,0.1625364,0.81152076,Neutral
12/11/2021,jpmorgan,city lights exhilarating honored partners consecutive year,0.001168259,0.0379681,0.96086377,0.96086377,Positive
09/11/2021,jpmorgan,enchanting city inspires connects art enthusiasts gather paris week parisphotofair artists expand boundaries traditional photography honored celebrating years partnership,0.001921487,0.24731858,0.75075984,0.75075984,Positive
04/11/2021,jpmorgan,machine learning cybersecurity technology shaping future finance learn innovation jp morgan,0.008927237,0.75206435,0.23900852,0.75206435,Neutral
03/11/2021,jpmorgan,oneonone mentoring handson experience new programme partnership careerent support disadvantaged students build skills need future careers,0.008095814,0.42570567,0.5661986,0.5661986,Positive
25/10/2021,jpmorgan,innovation meets insights jp morgan asset management delivers market analysis clients new ar experience,0.009951565,0.61570495,0.37434345,0.61570495,Neutral
15/10/2021,jpmorgan,jennifer piepszak believes taking longterm view performance best way determine getting done right,0.017930508,0.5530633,0.42900625,0.5530633,Neutral
08/10/2021,jpmorgan,global finance selected jp morgan worlds best bank based performance reputation management excellence leadership digital transformation corporate citizenshiphonored recognized best global bank best investment bank best private bank,0.002595412,0.10297803,0.89442647,0.89442647,Positive
06/10/2021,jpmorgan,headquarters new york city kicking annual women move leadership day inspiring leaders trailblazers entrepreneurs share ways powerher,0.001892318,0.21472679,0.78338075,0.78338075,Positive
29/09/2021,jpmorgan,make plan whatever decide forget retirement assets make sure consider options available,0.080592506,0.8028402,0.11656733,0.8028402,Neutral
24/09/2021,jpmorgan,adoption digital business models continues drive immediate long term growth businesses,0.002795462,0.24449985,0.7527046,0.7527046,Positive
23/09/2021,jpmorgan,rt harvardhbs professor emeritus joe bower alice rodriguez head community impact managing director jpmorgan chase discu,0.039223652,0.9133649,0.047411457,0.9133649,Neutral
23/09/2021,jpmorgan,driving private market technology investments europe matt gehl jp morgan head emea technology investment banking shares thoughts cnbc,0.03005203,0.9275594,0.042388603,0.9275594,Neutral
14/09/2021,jpmorgan,taptopay payments technology transformed north america largest public transportation network,0.008457576,0.44902426,0.5425182,0.5425182,Positive
31/08/2021,jpmorgan,rising global interest esg matters sparked revolution across investment industry learn stay,0.006141638,0.36312774,0.6307306,0.6307306,Positive
25/08/2021,jpmorgan,consumers businesses use apis every day example order rideshare app use process apis initiate payment company treasury management system use data apis see daily view account balance realtime,0.022588298,0.8650506,0.11236114,0.8650506,Neutral
25/08/2021,jpmorgan,apis enable two different systems seamless connect communicate securely two main types apis data apis automatically retrieve information like account balances process apis trigger service like initiating payment,0.008536865,0.6119815,0.37948155,0.6119815,Neutral
25/08/2021,jpmorgan,corporate treasurers also need better visibility data automated access information like foreign exchange rates cash balances currency reserves key decisionmaking particularly fastmoving market environment,0.13126412,0.7540802,0.11465564,0.7540802,Neutral
